date,pipeline,item,model,seed,steps,cfg,sampler,positive_tail,negative,output,status
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-canon_v1.png,keeper
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-portrait_v1_512.png,keeper
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,20260829,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-canon_v2.png,keeper
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,crop-of-canon,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-portrait_v2_512.png,keeper (sawbones: deterministic crop of canon)
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-turnaround_v2_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-turnaround_v2_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,20260834,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-turnaround_v2_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-turnaround-sheet_v2.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"shambling zombie mutated colonist, tattered settler clothes hanging in strips, sunken virus-blighted flesh, slack jaw, lurching stance",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/shambler-canon_v1.png,keeper
2026-08-25,characters,"shambling zombie mutated colonist, tattered settler clothes hanging in strips, sunken virus-blighted flesh, slack jaw, lurching stance",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/shambler-portrait_v1_512.png,keeper
2026-08-25,characters,"shambling zombie mutated colonist, tattered settler clothes hanging in strips, sunken virus-blighted flesh, slack jaw, lurching stance",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/shambler-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"shambling zombie mutated colonist, tattered settler clothes hanging in strips, sunken virus-blighted flesh, slack jaw, lurching stance",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/shambler-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"shambling zombie mutated colonist, tattered settler clothes hanging in strips, sunken virus-blighted flesh, slack jaw, lurching stance",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/shambler-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"shambling zombie mutated colonist, tattered settler clothes hanging in strips, sunken virus-blighted flesh, slack jaw, lurching stance",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/shambler-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"mutated cattle-dog monster, fast lean quadruped, mangy torn hide, exposed sinew, bared fangs, low predatory crouch",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/ravager-canon_v1.png,keeper
2026-08-25,characters,"mutated cattle-dog monster, fast lean quadruped, mangy torn hide, exposed sinew, bared fangs, low predatory crouch",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/ravager-portrait_v1_512.png,keeper
2026-08-25,characters,"mutated cattle-dog monster, fast lean quadruped, mangy torn hide, exposed sinew, bared fangs, low predatory crouch",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/ravager-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"mutated cattle-dog monster, fast lean quadruped, mangy torn hide, exposed sinew, bared fangs, low predatory crouch",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/ravager-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"mutated cattle-dog monster, fast lean quadruped, mangy torn hide, exposed sinew, bared fangs, low predatory crouch",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/ravager-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"mutated cattle-dog monster, fast lean quadruped, mangy torn hide, exposed sinew, bared fangs, low predatory crouch",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/ravager-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"bloated mutated colonist monster, swollen distended belly, glowing acid-green throat sacs on neck, ragged settler clothes",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/spitter-canon_v1.png,keeper
2026-08-25,characters,"bloated mutated colonist monster, swollen distended belly, glowing acid-green throat sacs on neck, ragged settler clothes",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/spitter-portrait_v1_512.png,keeper
2026-08-25,characters,"bloated mutated colonist monster, swollen distended belly, glowing acid-green throat sacs on neck, ragged settler clothes",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/spitter-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"bloated mutated colonist monster, swollen distended belly, glowing acid-green throat sacs on neck, ragged settler clothes",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/spitter-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"bloated mutated colonist monster, swollen distended belly, glowing acid-green throat sacs on neck, ragged settler clothes",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/spitter-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"bloated mutated colonist monster, swollen distended belly, glowing acid-green throat sacs on neck, ragged settler clothes",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/spitter-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"mutated hog monster, huge digging claws on forelimbs, rock-crusted hide with embedded stone, tusked snout, low heavy body",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/burrower-canon_v1.png,keeper
2026-08-25,characters,"mutated hog monster, huge digging claws on forelimbs, rock-crusted hide with embedded stone, tusked snout, low heavy body",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/burrower-portrait_v1_512.png,keeper
2026-08-25,characters,"mutated hog monster, huge digging claws on forelimbs, rock-crusted hide with embedded stone, tusked snout, low heavy body",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/burrower-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"mutated hog monster, huge digging claws on forelimbs, rock-crusted hide with embedded stone, tusked snout, low heavy body",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/burrower-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"mutated hog monster, huge digging claws on forelimbs, rock-crusted hide with embedded stone, tusked snout, low heavy body",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/burrower-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"mutated hog monster, huge digging claws on forelimbs, rock-crusted hide with embedded stone, tusked snout, low heavy body",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/burrower-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"massive mutated bull monster, exposed ribcage bones, broken jagged horns, towering muscular bulk, torn hide",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/bull-behemoth-canon_v1.png,keeper
2026-08-25,characters,"massive mutated bull monster, exposed ribcage bones, broken jagged horns, towering muscular bulk, torn hide",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/bull-behemoth-portrait_v1_512.png,keeper
2026-08-25,characters,"massive mutated bull monster, exposed ribcage bones, broken jagged horns, towering muscular bulk, torn hide",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/bull-behemoth-turnaround_v1_front.png,keeper — IPAdapter PLUS w0.85 linear
2026-08-25,characters,"massive mutated bull monster, exposed ribcage bones, broken jagged horns, towering muscular bulk, torn hide",sd_xl_base_1.0,20260825,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/bull-behemoth-turnaround_v1_threequarter.png,keeper — IPAdapter style-transfer w1.0
2026-08-25,characters,"massive mutated bull monster, exposed ribcage bones, broken jagged horns, towering muscular bulk, torn hide",sd_xl_base_1.0,20260826,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/bull-behemoth-turnaround_v1_back.png,"keeper — IPAdapter style-transfer w1.0 (sawbones: best-effort, view resisted)"
2026-08-25,characters,"massive mutated bull monster, exposed ribcage bones, broken jagged horns, towering muscular bulk, torn hide",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/bull-behemoth-turnaround-sheet_v1.png,"keeper — normalized composite (baseline y980, uniform figure height)"
2026-08-25,characters,"lean human gunslinger hero, long charcoal duster coat with brass buckles, twin revolvers in low-slung holsters, wide low-brimmed hat, weathered western frontier outfit",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/gunslinger-portrait-dead_v1_512.png,keeper — desaturate 0.8 + brightness 0.62 of portrait
2026-08-25,characters,"stocky human rancher hero, double-barrel shotgun held ready, coiled rope lasso on hip, oxblood leather vest, rope-tan work clothes, heavy boots, western frontier outfit",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/rancher-portrait-dead_v1_512.png,keeper — desaturate 0.8 + brightness 0.62 of portrait
2026-08-25,characters,"hulking broad-shouldered human frontier field surgeon hero, thick stained leather butcher apron worn as armor, massive two-handed serrated bone-saw blade, bald head, bone-white apron with rust-red stains, western frontier outfit",sd_xl_base_1.0,derived,28,7,dpmpp_2m/karras,full-scene (DEC-025) + character modifier,contract+char-addon,art/characters/sawbones-portrait-dead_v2_512.png,keeper — desaturate 0.8 + brightness 0.62 of portrait
2026-08-25,item_icon,"(a wooden barricade of X-crossed rough timber planks, weathered brown wood grain:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract (DEC-025 + weighted badge/dark-bg),contract+bg/lettering-addon,"art/icons/wooden-barricade_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a floor spike trap, sharpened iron spikes jutting up from a wooden base plate:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/spike-trap_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(three dynamite sticks bound with rope, one lit sparking fuse:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/dynamite-trap_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a small cannon turret with one long barrel on a swivel mount:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/auto-turret_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a wooden medical supply crate with a glowing red-cross lantern on top:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/med-station_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a plain brass coin embossed with a five-pointed star:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/scrip-coin_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a leather price tag on a rope loop hanging against a dark wall:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/sell-tag_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a five-pointed brass sheriff star badge:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/skill-star_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a corked glass vial filled with glowing amber liquid:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/xp-vial_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(two huddled figures wrapped in blankets sitting together:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/civilian_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a round riveted iron shield with a lantern glow emblem:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/hotspot-shield_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a longhorn cattle skull:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/wave-skull_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a dark tunnel mouth with a red alarm lamp above it:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/breach-warning_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a plain long-barrel revolver of unmarked steel:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/gs-revolver-shot_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a plain revolver with three falling bullet casings, unmarked metal:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/gs-fan-hammer_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a rifle scope crosshair reticle over a glowing bullet:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/gs-deadeye_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a plain hunting shotgun with two side-by-side barrels and a wooden stock, seen from the side:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/rn-shotgun-blast_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a single coiled cowboy lasso rope in a spiral coil, nothing else:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/rn-lasso_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a charging longhorn bull kicking up dust:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/rn-stampede_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a large plain saw-toothed cleaver blade of unmarked smooth steel:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/sb-saw-cleave_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a spinning circular sawblade with sharp triangular teeth, plain unmarked metal:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/sb-whirl_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a heavy riveted iron tower shield:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/sb-bulwark_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a heavy iron padlock with chain:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/state-locked_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a simple round clock face with two bold clock hands:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/state-cooldown_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a leather cowboy boot wrapped tightly in rope:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/state-slow_v1_{1024,256,128}.png",keeper
2026-08-25,item_icon,"(a brass hourglass with flowing sand:1.2)",sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,icon-framing-contract,contract+addon,"art/icons/state-respawn_v1_{1024,256,128}.png",keeper
2026-08-25,ui_props,hud-topbar,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + opaque from black raw,contract+alpha-addon,art/ui/hud-topbar_v1_1920x120.png,keeper-verified
2026-08-25,ui_props,shop-bar,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + opaque from black raw,contract+alpha-addon,art/ui/shop-bar_v1_1200x160.png,keeper-verified
2026-08-25,ui_props,slot-frame-locked,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + opaque from black raw,contract+alpha-addon,art/ui/slot-frame-locked_v1_96x96.png,keeper-verified
2026-08-25,ui_props,dialog-panel,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + opaque from black raw,contract+alpha-addon,art/ui/dialog-panel_v1_800x600.png,keeper-verified
2026-08-25,ui_props,levelup-card,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/levelup-card_v1_360x480.png,keeper-verified
2026-08-25,ui_props,victory-banner,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/victory-banner_v1_1000x400.png,keeper-verified
2026-08-25,ui_props,button-normal,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/button-normal_v1_320x96.png,keeper-verified
2026-08-25,ui_props,button-hover,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/button-hover_v1_320x96.png,keeper-verified
2026-08-25,ui_props,button-pressed,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/button-pressed_v1_320x96.png,keeper-verified
2026-08-25,ui_props,cursor,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/cursor_v1_64x64.png,keeper-verified
2026-08-25,ui_props,crosshair,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,ui-framing contract (04 doc) + rgba birefnet,contract+alpha-addon,art/ui/crosshair_v1_64x64.png,keeper-verified
2026-08-25,ui_props,water-tower,sd_xl_base_1.0,20260824,28,7,dpmpp_2m/karras,"props/facade framing (04 doc), rgba birefnet",contract+alpha-addon,art/props/water-tower_v1_1024.png,keeper-verified
